adm1_psgc,adm2_psgc,adm3_psgc,adm3_en,geo_level,len_crs,area_crs,len_km,area_km2
100000000,102900000,102906000,City of Candon,City,62247,77652664,62,77.0
100000000,102900000,102907000,Caoayan,Mun,26299,17535807,26,17.0
100000000,102900000,102908000,Cervantes,Mun,63152,243153376,63,243.0
100000000,102900000,102909000,Galimuyod,Mun,32801,34151612,32,34.0
100000000,102900000,102910000,Gregorio del Pilar,Mun,32723,54121741,32,54.0
100000000,102900000,102911000,Lidlidda,Mun,23229,34180092,23,34.0
100000000,102900000,102912000,Magsingal,Mun,48288,82503328,48,82.0
100000000,102900000,102913000,Nagbukel,Mun,32079,42457112,32,42.0
100000000,102900000,102914000,Narvacan,Mun,62031,103463919,62,103.0
100000000,102900000,102915000,Quirino,Mun,62107,182539164,62,182.0
100000000,102900000,102916000,Salcedo,Mun,41568,83039258,41,83.0
100000000,102900000,102917000,San Emilio,Mun,53062,151569111,53,151.0
100000000,102900000,102918000,San Esteban,Mun,21756,17430769,21,17.0
100000000,102900000,102919000,San Ildefonso,Mun,20011,11754830,20,11.0
100000000,102900000,102920000,San Juan,Mun,43755,68540576,43,68.0
100000000,102900000,102921000,San Vicente,Mun,23002,13228383,23,13.0
100000000,102900000,102922000,Santa,Mun,52087,59295885,52,59.0
100000000,102900000,102923000,Santa Catalina,Mun,16863,8957597,16,8.0
100000000,102900000,102924000,Santa Cruz,Mun,40564,92044504,40,92.0
100000000,102900000,102925000,Santa Lucia,Mun,31815,44264084,31,44.0
100000000,102900000,102926000,Santa Maria,Mun,41219,56541127,41,56.0
100000000,102900000,102927000,Santiago,Mun,34613,47802853,34,47.0
100000000,102900000,102928000,Santo Domingo,Mun,39136,48619091,39,48.0
100000000,102900000,102929000,Sigay,Mun,40065,92308965,40,92.0
100000000,102900000,102930000,Sinait,Mun,37972,68930285,37,68.0
100000000,102900000,102931000,Sugpon,Mun,64604,106419171,64,106.0
100000000,102900000,102932000,Suyo,Mun,55987,163772390,55,163.0
100000000,102900000,102933000,Tagudin,Mun,37921,58575760,37,58.0
100000000,102900000,102934000,City of Vigan ,City,25067,24485368,25,24.0
100000000,103300000,103301000,Agoo,Mun,33017,48201414,33,48.0
100000000,103300000,103302000,Aringay,Mun,57269,97297515,57,97.0
100000000,103300000,103303000,Bacnotan,Mun,39263,76490545,39,76.0
100000000,103300000,103304000,Bagulin,Mun,47383,90660528,47,90.0
100000000,103300000,103305000,Balaoan,Mun,47175,62093618,47,62.0
100000000,103300000,103306000,Bangar,Mun,27164,35258527,27,35.0
100000000,103300000,103307000,Bauang,Mun,39758,75896262,39,75.0
100000000,103300000,103308000,Burgos,Mun,38615,36492036,38,36.0
100000000,103300000,103309000,Caba,Mun,28822,46784410,28,46.0
100000000,103300000,103310000,Luna,Mun,34335,40551550,34,40.0
100000000,103300000,103311000,Naguilian,Mun,50564,102556320,50,102.0
100000000,103300000,103312000,Pugo,Mun,46376,52128666,46,52.0
100000000,103300000,103313000,Rosario,Mun,41980,78436370,41,78.0
100000000,103300000,103314000,City of San Fernando ,City,54233,99006121,54,99.0
100000000,103300000,103315000,San Gabriel,Mun,58267,121922009,58,121.0
100000000,103300000,103316000,San Juan,Mun,36655,50652411,36,50.0
100000000,103300000,103317000,Santo Tomas,Mun,44812,41026957,44,41.0
100000000,103300000,103318000,Santol,Mun,55995,114282270,55,114.0
100000000,103300000,103319000,Sudipen,Mun,57399,89948374,57,89.0
100000000,103300000,103320000,Tubao,Mun,36777,54395073,36,54.0
100000000,105500000,105501000,Agno,Mun,76270,166128910,76,166.0
100000000,105500000,105502000,Aguilar,Mun,67578,158077162,67,158.0
100000000,105500000,105503000,City of Alaminos,City,165275,162069976,165,162.0
100000000,105500000,105504000,Alcala,Mun,36021,58592361,36,58.0
100000000,105500000,105505000,Anda,Mun,98892,77781441,98,77.0
100000000,105500000,105506000,Asingan,Mun,44022,78500508,44,78.0
100000000,105500000,105507000,Balungao,Mun,46151,68383459,46,68.0
100000000,105500000,105508000,Bani,Mun,76467,182183746,76,182.0
100000000,105500000,105509000,Basista,Mun,23442,25624737,23,25.0
100000000,105500000,105510000,Bautista,Mun,37212,41439414,37,41.0
100000000,105500000,105511000,Bayambang,Mun,69075,136903403,69,136.0
100000000,105500000,105512000,Binalonan,Mun,32988,56564252,32,56.0
100000000,105500000,105513000,Binmaley,Mun,37108,63822365,37,63.0
100000000,105500000,105514000,Bolinao,Mun,119114,206479915,119,206.0
100000000,105500000,105515000,Bugallon,Mun,80171,178816067,80,178.0
100000000,105500000,105516000,Burgos,Mun,65847,115486706,65,115.0
100000000,105500000,105517000,Calasiao,Mun,37078,47492871,37,47.0
100000000,105500000,105518000,City of Dagupan,City,45023,43244800,45,43.0
100000000,105500000,105519000,Dasol,Mun,103423,177924121,103,177.0
100000000,105500000,105520000,Infanta,Mun,102268,192987797,102,192.0
100000000,105500000,105521000,Labrador,Mun,52351,103194516,52,103.0
100000000,105500000,105522000,Lingayen ,Mun,64945,71519944,64,71.0
100000000,105500000,105523000,Mabini,Mun,90166,257380666,90,257.0
100000000,105500000,105524000,Malasiqui,Mun,51152,138074757,51,138.0
100000000,105500000,105525000,Manaoag,Mun,47717,52185714,47,52.0
100000000,105500000,105526000,Mangaldan,Mun,37310,48380844,37,48.0
100000000,105500000,105527000,Mangatarem,Mun,87262,308594610,87,308.0
100000000,105500000,105528000,Mapandan,Mun,23380,20436868,23,20.0
100000000,105500000,105529000,Natividad,Mun,42130,94052334,42,94.0
100000000,105500000,105530000,Pozorrubio,Mun,35837,70455986,35,70.0
100000000,105500000,105531000,Rosales,Mun,43733,72418791,43,72.0
100000000,105500000,105532000,City of San Carlos,City,68704,148008019,68,148.0
100000000,105500000,105533000,San Fabian,Mun,46107,75905702,46,75.0
100000000,105500000,105534000,San Jacinto,Mun,34283,42402316,34,42.0
100000000,105500000,105535000,San Manuel,Mun,59890,137770252,59,137.0
100000000,105500000,105536000,San Nicolas,Mun,61856,225362643,61,225.0
100000000,105500000,105537000,San Quintin,Mun,61153,85747389,61,85.0
100000000,105500000,105538000,Santa Barbara,Mun,41197,62649131,41,62.0
100000000,105500000,105539000,Santa Maria,Mun,41050,46694955,41,46.0
100000000,105500000,105540000,Santo Tomas,Mun,15014,12401722,15,12.0
100000000,105500000,105541000,Sison,Mun,63188,154970695,63,154.0
100000000,105500000,105542000,Sual,Mun,95774,132901226,95,132.0
100000000,105500000,105543000,Tayug,Mun,30683,44009767,30,44.0
100000000,105500000,105544000,Umingan,Mun,86467,258603016,86,258.0
100000000,105500000,105545000,Urbiztondo,Mun,31927,40389890,31,40.0
100000000,105500000,105546000,City of Urdaneta,City,50138,95630773,50,95.0
100000000,105500000,105547000,Villasis,Mun,47237,80927284,47,80.0
100000000,105500000,105548000,Laoac,Mun,36163,41626414,36,41.0
200000000,200900000,200901000,Basco ,Mun,36088,33475951,36,33.0
200000000,200900000,200902000,Itbayat,Mun,105529,89279301,105,89.0
200000000,200900000,200903000,Ivana,Mun,20846,14697598,20,14.0
200000000,200900000,200904000,Mahatao,Mun,23416,11554850,23,11.0
200000000,200900000,200905000,Sabtang,Mun,53855,40967677,53,40.0
200000000,200900000,200906000,Uyugan,Mun,17449,11305458,17,11.0
200000000,201500000,201501000,Abulug,Mun,61312,132651953,61,132.0
200000000,201500000,201502000,Alcala,Mun,67183,180464717,67,180.0
200000000,201500000,201503000,Allacapan,Mun,72973,230597944,72,230.0
200000000,201500000,201504000,Amulung,Mun,104252,287493480,104,287.0
200000000,201500000,201505000,Aparri,Mun,148270,261220154,148,261.0
200000000,201500000,201506000,Baggao,Mun,158582,926965557,158,926.0
200000000,201500000,201507000,Ballesteros,Mun,52623,129405910,52,129.0
200000000,201500000,201508000,Buguey,Mun,69482,128775276,69,128.0
200000000,201500000,201509000,Calayan,Mun,276644,502573489,276,502.0
200000000,201500000,201510000,Camalaniugan,Mun,48687,89174271,48,89.0
200000000,201500000,201511000,Claveria,Mun,64459,128968767,64,128.0
200000000,201500000,201512000,Enrile,Mun,61288,152415588,61,152.0
200000000,201500000,201513000,Gattaran,Mun,163288,638694798,163,638.0
200000000,201500000,201514000,Gonzaga,Mun,123966,527151542,123,527.0
200000000,201500000,201515000,Iguig,Mun,46528,78156980,46,78.0
200000000,201500000,201516000,Lal-Lo,Mun,182058,641258691,182,641.0
200000000,201500000,201517000,Lasam,Mun,68843,206921145,68,206.0
200000000,201500000,201518000,Pamplona,Mun,69827,213075889,69,213.0
200000000,201500000,201519000,Peñablanca,Mun,156137,1138283184,156,1138.0
200000000,201500000,201520000,Piat,Mun,62844,132004988,62,132.0
200000000,201500000,201521000,Rizal,Mun,107286,340020455,107,340.0
200000000,201500000,201522000,Sanchez-Mira,Mun,60390,138318518,60,138.0
200000000,201500000,201523000,Santa Ana,Mun,198705,434498651,198,434.0
200000000,201500000,201524000,Santa Praxedes,Mun,55536,86295781,55,86.0
200000000,201500000,201525000,Santa Teresita,Mun,51193,127511953,51,127.0
200000000,201500000,201526000,Santo Niño,Mun,91453,361189052,91,361.0
200000000,201500000,201527000,Solana,Mun,83137,272853746,83,272.0
200000000,201500000,201528000,Tuao,Mun,69330,187880902,69,187.0
200000000,201500000,201529000,Tuguegarao City ,City,62766,119554108,62,119.0
200000000,203100000,203101000,Alicia,Mun,58413,158376285,58,158.0
200000000,203100000,203102000,Angadanan,Mun,79302,194520815,79,194.0
200000000,203100000,203103000,Aurora,Mun,50327,74750465,50,74.0
200000000,203100000,203104000,Benito Soliven,Mun,83459,176671105,83,176.0
200000000,203100000,203105000,Burgos,Mun,44121,77251658,44,77.0
200000000,203100000,203106000,Cabagan,Mun,141253,307601405,141,307.0
200000000,203100000,203107000,Cabatuan,Mun,35004,63907329,35,63.0
200000000,203100000,203108000,City of Cauayan,City,120270,336545654,120,336.0
200000000,203100000,203109000,Cordon,Mun,83774,224504529,83,224.0
200000000,203100000,203110000,Dinapigue,Mun,168800,952456576,168,952.0
200000000,203100000,203111000,Divilacan,Mun,156493,528197264,156,528.0
200000000,203100000,203112000,Echague,Mun,144193,443691512,144,443.0
200000000,203100000,203113000,Gamu,Mun,55413,96600149,55,96.0
200000000,203100000,203114000,City of Ilagan ,City,174861,961904658,174,961.0
200000000,203100000,203115000,Jones,Mun,125871,464976059,125,464.0
200000000,203100000,203116000,Luna,Mun,30811,45587639,30,45.0
200000000,203100000,203117000,Maconacon,Mun,117719,463944941,117,463.0
200000000,203100000,203118000,Delfin Albano,Mun,62557,177828339,62,177.0
200000000,203100000,203119000,Mallig,Mun,55892,116187839,55,116.0
200000000,203100000,203120000,Naguilian,Mun,73258,163187926,73,163.0
200000000,203100000,203121000,Palanan,Mun,131074,374119517,131,374.0
200000000,203100000,203122000,Quezon,Mun,69594,216445366,69,216.0
200000000,203100000,203123000,Quirino,Mun,70600,125491005,70,125.0
200000000,203100000,203124000,Ramon,Mun,51809,126301484,51,126.0
200000000,203100000,203125000,Reina Mercedes,Mun,34261,51600296,34,51.0
200000000,203100000,203126000,Roxas,Mun,66556,118920168,66,118.0
200000000,203100000,203127000,San Agustin,Mun,67199,188267995,67,188.0
200000000,203100000,203128000,San Guillermo,Mun,111485,386404786,111,386.0
200000000,203100000,203129000,San Isidro,Mun,37430,64387616,37,64.0
200000000,203100000,203130000,San Manuel,Mun,49662,103996997,49,103.0
200000000,203100000,203131000,San Mariano,Mun,190221,1396387281,190,1396.0
200000000,203100000,203132000,San Mateo,Mun,51915,110372180,51,110.0
200000000,203100000,203133000,San Pablo,Mun,96884,450181986,96,450.0
200000000,203100000,203134000,Santa Maria,Mun,54816,118921176,54,118.0
200000000,203100000,203135000,City of Santiago,City,70565,151784054,70,151.0
200000000,203100000,203136000,Santo Tomas,Mun,43159,77269092,43,77.0
200000000,203100000,203137000,Tumauini,Mun,104937,400366303,104,400.0
200000000,205000000,205001000,Ambaguio,Mun,61587,177520245,61,177.0
200000000,205000000,205002000,Aritao,Mun,85879,292076703,85,292.0
200000000,205000000,205003000,Bagabag,Mun,64925,146840056,64,146.0
200000000,205000000,205004000,Bambang,Mun,70408,229855153,70,229.0
200000000,205000000,205005000,Bayombong ,Mun,52679,142551072,52,142.0
200000000,205000000,205006000,Diadi,Mun,80016,210657761,80,210.0
200000000,205000000,205007000,Dupax del Norte,Mun,127180,298099775,127,298.0
200000000,205000000,205008000,Dupax del Sur,Mun,131185,412338861,131,412.0
200000000,205000000,205009000,Kasibu,Mun,112116,616408785,112,616.0
200000000,205000000,205010000,Kayapa,Mun,116363,517730035,116,517.0
200000000,205000000,205011000,Quezon,Mun,66554,212252614,66,212.0
200000000,205000000,205012000,Santa Fe,Mun,87249,247238536,87,247.0
200000000,205000000,205013000,Solano,Mun,54743,88518759,54,88.0
200000000,205000000,205014000,Villaverde,Mun,41115,67826700,41,67.0
200000000,205000000,205015000,Alfonso Castaneda,Mun,91242,466633221,91,466.0
200000000,205700000,205701000,Aglipay,Mun,122387,280240018,122,280.0
200000000,205700000,205702000,Cabarroguis ,Mun,78529,189051492,78,189.0
200000000,205700000,205703000,Diffun,Mun,87521,287823016,87,287.0
200000000,205700000,205704000,Maddela,Mun,157038,770335109,157,770.0
200000000,205700000,205705000,Saguday,Mun,35187,50158436,35,50.0
200000000,205700000,205706000,Nagtipunan,Mun,178477,1189746460,178,1189.0
300000000,300800000,300801000,Abucay,Mun,46095,76966805,46,76.0
300000000,300800000,300802000,Bagac,Mun,84386,189246123,84,189.0
300000000,300800000,300803000,City of Balanga ,City,60735,89675904,60,89.0
300000000,300800000,300804000,Dinalupihan,Mun,60060,75592615,60,75.0
300000000,300800000,300805000,Hermosa,Mun,85880,149116470,85,149.0
300000000,300800000,300806000,Limay,Mun,46114,60754280,46,60.0
300000000,300800000,300807000,Mariveles,Mun,112145,194510486,112,194.0
300000000,300800000,300808000,Morong,Mun,68139,173815670,68,173.0
300000000,300800000,300809000,Orani,Mun,66771,53713890,66,53.0
300000000,300800000,300810000,Orion,Mun,61499,89724860,61,89.0
300000000,300800000,300811000,Pilar,Mun,47893,45597285,47,45.0
300000000,300800000,300812000,Samal,Mun,52240,47561071,52,47.0
300000000,301400000,301401000,Angat,Mun,61524,49424835,61,49.0
300000000,301400000,301402000,Balagtas,Mun,31861,21490346,31,21.0
300000000,301400000,301403000,City of Baliwag,City,44173,45781993,44,45.0
300000000,301400000,301404000,Bocaue,Mun,32852,26363708,32,26.0
300000000,301400000,301405000,Bulacan,Mun,51308,72373254,51,72.0
300000000,301400000,301406000,Bustos,Mun,34195,39882083,34,39.0
300000000,301400000,301407000,Calumpit,Mun,35613,46830108,35,46.0
300000000,301400000,301408000,Guiguinto,Mun,27394,22328398,27,22.0
300000000,301400000,301409000,Hagonoy,Mun,59736,83450373,59,83.0
300000000,301400000,301410000,City of Malolos ,City,67577,70877342,67,70.0
300000000,301400000,301411000,Marilao,Mun,44282,28353727,44,28.0
300000000,301400000,301412000,City of Meycauayan,City,52104,31794854,52,31.0
300000000,301400000,301413000,Norzagaray,Mun,129322,297426794,129,297.0
300000000,301400000,301414000,Obando,Mun,27634,16214719,27,16.0
300000000,301400000,301415000,Pandi,Mun,44562,50438115,44,50.0
300000000,301400000,301416000,Paombong,Mun,44506,45312548,44,45.0
300000000,301400000,301417000,Plaridel,Mun,39787,35760318,39,35.0
300000000,301400000,301418000,Pulilan,Mun,36879,42667426,36,42.0
300000000,301400000,301419000,San Ildefonso,Mun,79696,166633476,79,166.0
300000000,301400000,301420000,City of San Jose Del Monte,City,65870,107884047,65,107.0
300000000,301400000,301421000,San Miguel,Mun,92225,232016956,92,232.0
300000000,301400000,301422000,San Rafael,Mun,75088,101695289,75,101.0
300000000,301400000,301423000,Santa Maria,Mun,44737,79146847,44,79.0
300000000,301400000,301424000,Doña Remedios Trinidad,Mun,156750,991573017,156,991.0
300000000,304900000,304901000,Aliaga,Mun,50065,95304498,50,95.0
300000000,304900000,304902000,Bongabon,Mun,76220,215580755,76,215.0
300000000,304900000,304903000,City of Cabanatuan,City,82238,189297157,82,189.0
300000000,304900000,304904000,Cabiao,Mun,74061,112334603,74,112.0
300000000,304900000,304905000,Carranglan,Mun,116264,734707236,116,734.0
300000000,304900000,304906000,Cuyapo,Mun,63986,178479200,63,178.0
300000000,304900000,304907000,Gabaldon,Mun,82461,367518847,82,367.0
300000000,304900000,304908000,City of Gapan,City,81269,172215972,81,172.0
300000000,304900000,304909000,General Mamerto Natividad,Mun,66198,108428501,66,108.0
300000000,304900000,304910000,General Tinio,Mun,126325,563221076,126,563.0
300000000,304900000,304911000,Guimba,Mun,96076,215488317,96,215.0
300000000,304900000,304912000,Jaen,Mun,56569,98143933,56,98.0
300000000,304900000,304913000,Laur,Mun,64708,156274392,64,156.0
300000000,304900000,304914000,Licab,Mun,43567,64497092,43,64.0
300000000,304900000,304915000,Llanera,Mun,70708,100141338,70,100.0
300000000,304900000,304916000,Lupao,Mun,49451,116803630,49,116.0
300000000,304900000,304917000,Science City of Muñoz,City,74534,129503721,74,129.0
300000000,304900000,304918000,Nampicuan,Mun,31913,46572160,31,46.0
300000000,304900000,304919000,City of Palayan ,City,94351,131254418,94,131.0
300000000,304900000,304920000,Pantabangan,Mun,274669,419798797,274,419.0
300000000,304900000,304921000,Peñaranda,Mun,59390,63101990,59,63.0
300000000,304900000,304922000,Quezon,Mun,43048,64141397,43,64.0
300000000,304900000,304923000,Rizal,Mun,68328,134491946,68,134.0
300000000,304900000,304924000,San Antonio,Mun,80504,181370024,80,181.0
300000000,304900000,304925000,San Isidro,Mun,41706,47809637,41,47.0
300000000,304900000,304926000,San Jose City,City,85659,192012403,85,192.0
300000000,304900000,304927000,San Leonardo,Mun,41845,50795984,41,50.0
300000000,304900000,304928000,Santa Rosa,Mun,88828,107165336,88,107.0
300000000,304900000,304929000,Santo Domingo,Mun,66298,86225249,66,86.0
300000000,304900000,304930000,Talavera,Mun,87607,131819383,87,131.0
300000000,304900000,304931000,Talugtug,Mun,51643,106951804,51,106.0
300000000,304900000,304932000,Zaragoza,Mun,49184,77507171,49,77.0
300000000,305400000,305402000,Apalit,Mun,44136,57626397,44,57.0
300000000,305400000,305403000,Arayat,Mun,73259,187242984,73,187.0
300000000,305400000,305404000,Bacolor,Mun,61048,83634925,61,83.0
300000000,305400000,305405000,Candaba,Mun,100790,208113682,100,208.0
300000000,305400000,305406000,Floridablanca,Mun,67578,135004235,67,135.0
300000000,305400000,305407000,Guagua,Mun,47365,44878822,47,44.0
300000000,305400000,305408000,Lubao,Mun,76227,165167225,76,165.0
300000000,305400000,305409000,Mabalacat City,City,72078,97636520,72,97.0
300000000,305400000,305410000,Macabebe,Mun,104906,90309634,104,90.0
300000000,305400000,305411000,Magalang,Mun,51616,96988024,51,96.0
300000000,305400000,305412000,Masantol,Mun,47441,67652450,47,67.0
300000000,305400000,305413000,Mexico,Mun,67633,124458703,67,124.0
300000000,305400000,305414000,Minalin,Mun,53570,52056719,53,52.0
300000000,305400000,305415000,Porac,Mun,97126,297434584,97,297.0
300000000,305400000,305416000,City of San Fernando ,City,49595,70162301,49,70.0
300000000,305400000,305417000,San Luis,Mun,54601,48089904,54,48.0
300000000,305400000,305418000,San Simon,Mun,45570,55182534,45,55.0
300000000,305400000,305419000,Santa Ana,Mun,34160,37473227,34,37.0
300000000,305400000,305420000,Santa Rita,Mun,23613,21661705,23,21.0
300000000,305400000,305421000,Sto. Tomas,Mun,21182,13870456,21,13.0
300000000,305400000,305422000,Sasmuan,Mun,53541,40118748,53,40.0
300000000,306900000,306901000,Anao,Mun,25478,25458964,25,25.0
300000000,306900000,306902000,Bamban,Mun,84766,207693652,84,207.0
300000000,306900000,306903000,Camiling,Mun,62711,131537019,62,131.0
300000000,306900000,306904000,Capas,Mun,100227,446955098,100,446.0
300000000,306900000,306905000,Concepcion,Mun,67861,213257948,67,213.0
300000000,306900000,306906000,Gerona,Mun,54851,122457456,54,122.0
300000000,306900000,306907000,La Paz,Mun,63748,115782067,63,115.0
300000000,306900000,306908000,Mayantoc,Mun,76439,240392487,76,240.0
300000000,306900000,306909000,Moncada,Mun,49441,101833741,49,101.0
300000000,306900000,306910000,Paniqui,Mun,51809,106741684,51,106.0
300000000,306900000,306911000,Pura,Mun,28066,32144373,28,32.0
300000000,306900000,306912000,Ramos,Mun,23984,25757045,23,25.0
300000000,306900000,306913000,San Clemente,Mun,61487,71362478,61,71.0
300000000,306900000,306914000,San Manuel,Mun,25774,32705910,25,32.0
300000000,306900000,306915000,Santa Ignacia,Mun,57788,131597337,57,131.0
300000000,306900000,306916000,City of Tarlac ,City,80906,262694715,80,262.0
300000000,306900000,306917000,Victoria,Mun,54455,109742761,54,109.0
300000000,306900000,306918000,San Jose,Mun,117743,596562044,117,596.0
300000000,307100000,307101000,Botolan,Mun,127246,669102821,127,669.0
300000000,307100000,307102000,Cabangan,Mun,61980,206185467,61,206.0
300000000,307100000,307103000,Candelaria,Mun,104580,424639633,104,424.0
300000000,307100000,307104000,Castillejos,Mun,59445,104230997,59,104.0
300000000,307100000,307105000,Iba ,Mun,70291,140587951,70,140.0
300000000,307100000,307106000,Masinloc,Mun,129075,248821752,129,248.0
300000000,307100000,307108000,Palauig,Mun,104033,309208915,104,309.0
300000000,307100000,307109000,San Antonio,Mun,111457,167529913,111,167.0
300000000,307100000,307110000,San Felipe,Mun,56681,114547098,56,114.0
300000000,307100000,307111000,San Marcelino,Mun,96264,426671841,96,426.0
300000000,307100000,307112000,San Narciso,Mun,40400,72983950,40,72.0
300000000,307100000,307113000,Santa Cruz,Mun,141487,460322672,141,460.0
300000000,307100000,307114000,Subic,Mun,137160,247832562,137,247.0
300000000,307700000,307701000,Baler ,Mun,73621,99573484,73,99.0
300000000,307700000,307702000,Casiguran,Mun,221632,419884958,221,419.0
300000000,307700000,307703000,Dilasag,Mun,121666,495203006,121,495.0
300000000,307700000,307704000,Dinalungan,Mun,90819,326197159,90,326.0
300000000,307700000,307705000,Dingalan,Mun,173744,354352662,173,354.0
300000000,307700000,307706000,Dipaculao,Mun,131764,400557963,131,400.0
300000000,307700000,307707000,Maria Aurora,Mun,82345,335512303,82,335.0
300000000,307700000,307708000,San Luis,Mun,141118,598271990,141,598.0
300000000,330100000,330100000,City of Angeles,City,66451,121139840,66,121.0
300000000,331400000,331400000,City of Olongapo,City,107151,141271283,107,141.0
400000000,401000000,401001000,Agoncillo,Mun,36041,48807574,36,48.0
400000000,401000000,401002000,Alitagtag,Mun,24774,25480842,24,25.0
400000000,401000000,401003000,Balayan,Mun,67788,93064856,67,93.0
400000000,401000000,401004000,Balete,Mun,36759,24608936,36,24.0
400000000,401000000,401005000,Batangas City ,City,122303,274436316,122,274.0
400000000,401000000,401006000,Bauan,Mun,49506,53009099,49,53.0
400000000,401000000,401007000,City of Calaca,City,53234,114925794,53,114.0
400000000,401000000,401008000,Calatagan,Mun,89508,106326964,89,106.0
400000000,401000000,401009000,Cuenca,Mun,26945,30275679,26,30.0
400000000,401000000,401010000,Ibaan,Mun,41892,70333746,41,70.0
400000000,401000000,401011000,Laurel,Mun,46168,74013920,46,74.0
400000000,401000000,401012000,Lemery,Mun,48642,72147273,48,72.0
400000000,401000000,401013000,Lian,Mun,58981,83476127,58,83.0
400000000,401000000,401014000,City of Lipa,City,85407,191313777,85,191.0
400000000,401000000,401015000,Lobo,Mun,79128,192052326,79,192.0
400000000,401000000,401016000,Mabini,Mun,36270,39742322,36,39.0
400000000,401000000,401017000,Malvar,Mun,33410,34410905,33,34.0
400000000,401000000,401018000,Mataasnakahoy,Mun,21466,19335983,21,19.0
400000000,401000000,401019000,Nasugbu,Mun,185809,266538343,185,266.0
400000000,401000000,401020000,Padre Garcia,Mun,37127,39284160,37,39.0
400000000,401000000,401021000,Rosario,Mun,94092,199037319,94,199.0
400000000,401000000,401022000,San Jose,Mun,36896,58250512,36,58.0
400000000,401000000,401023000,San Juan,Mun,83920,237552239,83,237.0
400000000,401000000,401024000,San Luis,Mun,31786,37712366,31,37.0
400000000,401000000,401025000,San Nicolas,Mun,31784,21336269,31,21.0
400000000,401000000,401026000,San Pascual,Mun,30193,35274136,30,35.0
400000000,401000000,401027000,Santa Teresita,Mun,21988,15373326,21,15.0
400000000,401000000,401028000,City of Sto. Tomas,City,56862,89027167,56,89.0
400000000,401000000,401029000,Taal,Mun,25601,27069022,25,27.0
400000000,401000000,401030000,Talisay,Mun,60191,59223641,60,59.0
400000000,401000000,401031000,City of Tanauan,City,53787,112105304,53,112.0
400000000,401000000,401032000,Taysan,Mun,55108,92551355,55,92.0
400000000,401000000,401033000,Tingloy,Mun,45332,32600707,45,32.0
400000000,401000000,401034000,Tuy,Mun,47511,93603812,47,93.0
400000000,402100000,402101000,Alfonso,Mun,56104,70291689,56,70.0
400000000,402100000,402102000,Amadeo,Mun,30475,35941058,30,35.0
400000000,402100000,402103000,City of Bacoor,City,45504,49029088,45,49.0
400000000,402100000,402104000,City of Carmona,City,29686,24126172,29,24.0
400000000,402100000,402105000,City of Cavite,City,53177,11881650,53,11.0
400000000,402100000,402106000,City of Dasmariñas,City,47401,90140022,47,90.0
400000000,402100000,402107000,General Emilio Aguinaldo,Mun,31928,40688130,31,40.0
400000000,402100000,402108000,City of General Trias,City,64763,87504766,64,87.0
400000000,402100000,402109000,City of Imus,City,41439,50399091,41,50.0
400000000,402100000,402110000,Indang,Mun,50576,89047811,50,89.0
400000000,402100000,402111000,Kawit,Mun,40993,15967792,40,15.0
400000000,402100000,402112000,Magallanes,Mun,48047,65919006,48,65.0
400000000,402100000,402113000,Maragondon,Mun,85039,141674780,85,141.0
400000000,402100000,402114000,Mendez,Mun,17280,14690788,17,14.0
400000000,402100000,402115000,Naic,Mun,48907,70969908,48,70.0
